case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,suggested_commands
NET-001,PC1 cannot reach Server1 in VLAN 30,Router-on-a-stick; VLAN 30 sub-interface is present but down,"GigabitEthernet0/0.10 is up, line protocol is up
GigabitEthernet0/0.30 is administratively down, line protocol is down",Sub-interface GigabitEthernet0/0.30 is administratively down,Layer 3,Inter-VLAN Routing,High,"show ip interface brief
configure terminal
interface GigabitEthernet0/0.30
no shutdown"
NET-002,PC in VLAN 20 cannot reach its gateway,Access switch port assigned to wrong VLAN,"show vlan brief
FastEthernet0/5 is in VLAN 10
PC address: 192.168.20.10/24
Gateway: 192.168.20.1",Access port Fa0/5 should be in VLAN 20,Layer 2,VLAN,High,"show vlan brief
interface fa0/5
switchport access vlan 20"
NET-003,PC receives no DHCP address,DHCP pool has an incorrect network statement,"ipconfig: 169.254.20.15
show running-config | section dhcp
network 192.168.30.0 255.255.255.0",DHCP pool network does not match client VLAN subnet,Layer 3,DHCP,High,show running-config | section dhcp
NET-004,PC can ping gateway but not remote network,Static route to remote LAN is missing,"show ip route
C 192.168.10.0/24 is directly connected
No route for 192.168.40.0/24",Missing route for 192.168.40.0/24,Layer 3,Routing,High,"show ip route
ip route 192.168.40.0 255.255.255.0 <next-hop>"
NET-005,Users cannot resolve www.example.local,DNS server address on DHCP pool is incorrect,"ipconfig /all
DNS Servers: 192.168.50.99
Correct DNS server: 192.168.50.10",Incorrect DNS server supplied to clients,Layer 7,DNS,Medium,show running-config | section dhcp
NET-006,Guest VLAN can access internal server,Guest ACL does not deny internal subnet,"show access-lists GUEST-IN
permit ip any any
Guest subnet: 192.168.60.0/24
Internal: 192.168.10.0/24",Guest isolation ACL is too permissive,Layer 3/4,ACL,Critical,"show access-lists
ip access-list extended GUEST-IN"
NET-007,NAT inside users cannot access internet,NAT overload rule is missing,"show ip nat translations
<empty>
show running-config | include ip nat",Missing PAT/NAT overload configuration,Layer 3,NAT,High,"show ip nat translations
show running-config | include ip nat"
NET-008,Only one switch VLAN works across trunk,VLAN 30 is missing from allowed VLAN list,"show interfaces trunk
Vlans allowed on trunk: 10,20
Required VLANs: 10,20,30",VLAN 30 is not allowed on trunk,Layer 2,Trunking,High,"show interfaces trunk
interface g0/1
switchport trunk allowed vlan add 30"
NET-009,PC gets wrong gateway,DHCP default-router points to wrong address,"show running-config | section dhcp
default-router 192.168.10.254
SVI gateway: 192.168.10.1",DHCP default gateway is incorrect,Layer 3,DHCP,High,show running-config | section dhcp
NET-010,Router interface has no connectivity,Interface is administratively down,"show ip interface brief
GigabitEthernet0/1 192.168.2.1 administratively down down",GigabitEthernet0/1 is shutdown,Layer 1/3,Interface Status,High,"interface g0/1
no shutdown"
NET-011,Two PCs intermittently lose connectivity,Duplicate IP address configured,"PC1: 192.168.10.20/24
PC2: 192.168.10.20/24
ARP table shows same address changing MAC",Duplicate IP address exists,Layer 3,IP Addressing,High,"show ip arp
ipconfig /all"
